X590
Integration time [ms]: 40000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 0604028U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 589.82;20920.000;    0.000;    0.000
 589.98;20664.000;    0.000;    0.000
 590.14;16836.000;    0.000;    0.000
 590.30;13116.000;    0.000;    0.000
 590.46;19312.000;    0.000;    0.000
 590.62;22120.000;    0.000;    0.000
 590.78;14124.000;    0.000;    0.000
 590.95;20804.000;    0.000;    0.000
 591.11;21668.000;    0.000;    0.000
 591.27;18220.000;    0.000;    0.000
 591.43;18988.000;    0.000;    0.000
 591.59;24136.000;    0.000;    0.000
 591.75;23920.000;    0.000;    0.000
 591.91;20364.000;    0.000;    0.000
 592.07;23500.000;    0.000;    0.000
 592.23;22772.000;    0.000;    0.000
 592.39;22792.000;    0.000;    0.000
 592.55;19120.000;    0.000;    0.000
 592.71;18604.000;    0.000;    0.000
 592.87;18152.000;    0.000;    0.000
 593.03;18104.000;    0.000;    0.000
 593.19;18224.000;    0.000;    0.000
 593.35;18712.000;    0.000;    0.000
 593.52;21480.000;    0.000;    0.000
 593.68;16864.000;    0.000;    0.000
 593.84;18196.000;    0.000;    0.000
 594.00;18660.000;    0.000;    0.000
 594.16;21592.000;    0.000;    0.000
 594.32;16800.000;    0.000;    0.000
 594.48;20336.000;    0.000;    0.000
 594.64;17692.000;    0.000;    0.000
 594.80;16432.000;    0.000;    0.000
 594.96;13944.000;    0.000;    0.000
 595.12;18616.000;    0.000;    0.000
 595.28;13200.000;    0.000;    0.000
 595.44;17052.000;    0.000;    0.000
 595.60;11032.000;    0.000;    0.000
 595.76;10924.000;    0.000;    0.000
 595.92;15608.000;    0.000;    0.000
 596.08;10412.000;    0.000;    0.000
 596.24;13360.000;    0.000;    0.000
 596.40;18440.000;    0.000;    0.000
 596.56;13172.000;    0.000;    0.000
 596.73;13000.000;    0.000;    0.000
 596.89;19316.000;    0.000;    0.000
 597.05;16340.000;    0.000;    0.000
 597.21;13724.000;    0.000;    0.000
 597.37;15960.000;    0.000;    0.000
 597.53;14388.000;    0.000;    0.000
 597.69;13104.000;    0.000;    0.000
 597.85;15220.000;    0.000;    0.000
 598.01;12660.000;    0.000;    0.000
 598.17;13688.000;    0.000;    0.000
 598.33;13672.000;    0.000;    0.000
 598.49;15872.000;    0.000;    0.000
 598.65;10788.000;    0.000;    0.000
 598.81;12308.000;    0.000;    0.000
 598.97;10840.000;    0.000;    0.000
 599.13;13600.000;    0.000;    0.000
 599.29;15372.000;    0.000;    0.000
 599.45;10876.000;    0.000;    0.000
 599.61;16020.000;    0.000;    0.000
 599.77;12304.000;    0.000;    0.000
 599.93;13808.000;    0.000;    0.000
 600.09;14812.000;    0.000;    0.000
 600.25;14948.000;    0.000;    0.000
 600.41; 7100.000;    0.000;    0.000
 600.57;12588.000;    0.000;    0.000
 600.73;11268.000;    0.000;    0.000
 600.89;18192.000;    0.000;    0.000
 601.05;12712.000;    0.000;    0.000
 601.21;11884.000;    0.000;    0.000
 601.37;11968.000;    0.000;    0.000
 601.53;13280.000;    0.000;    0.000
 601.69;15940.000;    0.000;    0.000
 601.85;10192.000;    0.000;    0.000
 602.01;14464.000;    0.000;    0.000
 602.17;14160.000;    0.000;    0.000
 602.33;11600.000;    0.000;    0.000
 602.49;11312.000;    0.000;    0.000
 602.65;15192.000;    0.000;    0.000
 602.81;19084.000;    0.000;    0.000
 602.97; 9724.000;    0.000;    0.000
 603.13;11328.000;    0.000;    0.000
 603.29;15392.000;    0.000;    0.000
 603.45;17508.000;    0.000;    0.000
 603.61;17200.000;    0.000;    0.000
 603.78;15660.000;    0.000;    0.000
 603.94;17940.000;    0.000;    0.000
 604.10;15304.000;    0.000;    0.000
 604.26;18568.000;    0.000;    0.000
 604.42;20296.000;    0.000;    0.000
 604.58;10420.000;    0.000;    0.000
 604.74;14148.000;    0.000;    0.000
 604.90; 7088.000;    0.000;    0.000
 605.06; 9076.000;    0.000;    0.000
 605.22;15156.000;    0.000;    0.000
 605.38; 8584.000;    0.000;    0.000
 605.54;10740.000;    0.000;    0.000
 605.70;10028.000;    0.000;    0.000
 605.86;12004.000;    0.000;    0.000
 606.01;13384.000;    0.000;    0.000
 606.17;12460.000;    0.000;    0.000
 606.33;11724.000;    0.000;    0.000
 606.49;14852.000;    0.000;    0.000
 606.65;14724.000;    0.000;    0.000
 606.81; 8924.000;    0.000;    0.000
 606.97;12484.000;    0.000;    0.000
 607.13; 9616.000;    0.000;    0.000
 607.29;13072.000;    0.000;    0.000
 607.45;15140.000;    0.000;    0.000
 607.61;14880.000;    0.000;    0.000
 607.77;15760.000;    0.000;    0.000
 607.93;17896.000;    0.000;    0.000
 608.09;13040.000;    0.000;    0.000
 608.25;12100.000;    0.000;    0.000
 608.41;15284.000;    0.000;    0.000
 608.57;16656.000;    0.000;    0.000
 608.73;14628.000;    0.000;    0.000
 608.89;14316.000;    0.000;    0.000
 609.05;10140.000;    0.000;    0.000
 609.21;17852.000;    0.000;    0.000
 609.37;13768.000;    0.000;    0.000
 609.53;10504.000;    0.000;    0.000
 609.69;14168.000;    0.000;    0.000
 609.85;16160.000;    0.000;    0.000
 610.01;10732.000;    0.000;    0.000
 610.17;13116.000;    0.000;    0.000
 610.33; 8676.000;    0.000;    0.000
 610.49;13896.000;    0.000;    0.000
 610.65;12820.000;    0.000;    0.000
 610.81; 9568.000;    0.000;    0.000
 610.97;13084.000;    0.000;    0.000
 611.13;12980.000;    0.000;    0.000
 611.29;15952.000;    0.000;    0.000
 611.45;25716.000;    0.000;    0.000
 611.61;23464.000;    0.000;    0.000
 611.77;16204.000;    0.000;    0.000
