X590
Integration time [ms]: 40000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 0604028U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 593.35;16212.000;    0.000;    0.000
 593.52;18964.000;    0.000;    0.000
 593.68;14828.000;    0.000;    0.000
 593.84;15980.000;    0.000;    0.000
 594.00;16448.000;    0.000;    0.000
 594.16;19244.000;    0.000;    0.000
 594.32;15008.000;    0.000;    0.000
 594.48;18188.000;    0.000;    0.000
 594.64;16152.000;    0.000;    0.000
 594.80;14760.000;    0.000;    0.000
 594.96;12460.000;    0.000;    0.000
 595.12;17076.000;    0.000;    0.000
 595.28;11936.000;    0.000;    0.000
 595.44;15428.000;    0.000;    0.000
 595.60;10308.000;    0.000;    0.000
 595.76; 9900.000;    0.000;    0.000
 595.92;14476.000;    0.000;    0.000
 596.08; 9544.000;    0.000;    0.000
 596.24;12548.000;    0.000;    0.000
 596.40;17440.000;    0.000;    0.000
 596.56;12240.000;    0.000;    0.000
 596.73;12272.000;    0.000;    0.000
 596.89;18380.000;    0.000;    0.000
 597.05;15604.000;    0.000;    0.000
 597.21;12888.000;    0.000;    0.000
 597.37;15100.000;    0.000;    0.000
 597.53;13696.000;    0.000;    0.000
 597.69;12512.000;    0.000;    0.000
 597.85;14468.000;    0.000;    0.000
 598.01;11940.000;    0.000;    0.000
 598.17;12724.000;    0.000;    0.000
 598.33;13148.000;    0.000;    0.000
 598.49;15212.000;    0.000;    0.000
 598.65;10212.000;    0.000;    0.000
 598.81;11604.000;    0.000;    0.000
 598.97;10520.000;    0.000;    0.000
 599.13;13016.000;    0.000;    0.000
 599.29;14588.000;    0.000;    0.000
 599.45;10308.000;    0.000;    0.000
 599.61;14980.000;    0.000;    0.000
 599.77;11672.000;    0.000;    0.000
 599.93;12952.000;    0.000;    0.000
 600.09;14108.000;    0.000;    0.000
 600.25;14256.000;    0.000;    0.000
 600.41; 6824.000;    0.000;    0.000
 600.57;12036.000;    0.000;    0.000
 600.73;10908.000;    0.000;    0.000
 600.89;17352.000;    0.000;    0.000
 601.05;12080.000;    0.000;    0.000
 601.21;11264.000;    0.000;    0.000
 601.37;11536.000;    0.000;    0.000
 601.53;12768.000;    0.000;    0.000
 601.69;15212.000;    0.000;    0.000
 601.85; 9628.000;    0.000;    0.000
 602.01;13824.000;    0.000;    0.000
 602.17;15544.000;    0.000;    0.000
 602.33;11236.000;    0.000;    0.000
 602.49;10896.000;    0.000;    0.000
 602.65;14308.000;    0.000;    0.000
 602.81;18476.000;    0.000;    0.000
 602.97; 9476.000;    0.000;    0.000
 603.13;10920.000;    0.000;    0.000
 603.29;14640.000;    0.000;    0.000
 603.45;16792.000;    0.000;    0.000
 603.61;16532.000;    0.000;    0.000
